Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Bd Diabetes,14324284.13,53627821.151,426765,154701,0.2685220704,33.564805291,92.593351885,0,12843200.92,46464115,367674,138560,0.2768637399,34.930946763,92.690537818,0,11466422.11,39828783.5,323817,120866,0.2859912682,35.410191899,94.868880496,0,11027746.32,35412241,289018,112154,0.3072106366,38.155915272,98.326821335,0,10055185.37,30204750.674,245530,98207,0.3269061929,40.952980776,102.38766452,0,0.064110919,0.0504146984
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Amerisource-Gnp,4760.3,25300,254,96,0.1881541502,18.741338583,49.586458333,0,4636.02,22852,234,80,0.2028715211,19.812051282,57.95025,0,8354.34,44439,391,151,0.1879956795,21.366598465,55.326754967,0,9148.81,49714,423,194,0.1839915826,21.628392435,47.158814433,0,8860.48,35278,325,165,0.25119092,27.263015385,53.699878788,0,0.3652304985,0.0749110653
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,American Sales,15805.2,105428,842,344,0.1499176865,18.771021378,45.945348837,0,19716.86,107010,878,376,0.1862464158,22.456560364,52.438457447,0,10990.96,59960,484,251,0.1839400621,22.708595041,43.788685259,0,2678.31,15263,142,64,0.1769458799,18.861338028,41.84859375,0,1188.95,7100,53,25,0.1674210782,22.433018868,47.558,0,-0.053828898,0.0279910076
Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,Access LLC,129.08,617,17,,0.2092058347,7.5929411765,,1,,,,,,,,,,,,,,,,,,,,,,,,,190.3,1140,11,,0.1669298246,17.3,,1,,-0.054873292
Insulin Syringe,"Syringe W-Ndl, Disp,Insul,2 Ml",1,Overall,681.24,1983,21,,0.3537638248,32.44,,1,426.55,1290,12,,0.3306589147,35.545833333,,1,1842.16,5260,66,28,0.3502205323,27.911515152,65.791428571,0,513.01,1684,14,,0.3046377672,36.643571429,,1,522.27,1690,18,,0.309035503,29.015,,1,0.0144359505,-0.033228724
Insulin Syringe,"Syringe W-Ndl, Disp,Insul,2 Ml",1,Bd Medical Surg,681.24,1983,21,,0.3537638248,32.44,,1,426.55,1290,12,,0.3306589147,35.545833333,,1,1842.16,5260,66,28,0.3502205323,27.911515152,65.791428571,0,513.01,1684,14,,0.3046377672,36.643571429,,1,522.27,1690,18,,0.309035503,29.015,,1,0.0144359505,-0.033228724
Insulin Syringe,"Syringe,Insulin,Needless 1 Ml",1,Overall,2270.22,13403,228,114,0.1693814818,9.9571052632,19.914210526,0,1017.3,6343,96,58,0.1603815229,10.596875,17.539655172,0,1675.41,9724,157,90,0.1722963801,10.671401274,18.615666667,0,2554.43,14560,213,111,0.1754416209,11.992629108,23.012882883,0,2095.07,11787,150,83,0.1777441249,13.967133333,25.241807229,0,0.0131240466,0.0121207571
Insulin Syringe,"Syringe,Insulin,Needless 1 Ml",1,Bd Diabetes,2270.22,13403,228,114,0.1693814818,9.9571052632,19.914210526,0,1017.3,6343,96,58,0.1603815229,10.596875,17.539655172,0,1675.41,9724,157,90,0.1722963801,10.671401274,18.615666667,0,2554.43,14560,213,111,0.1754416209,11.992629108,23.012882883,0,2095.07,11787,150,83,0.1777441249,13.967133333,25.241807229,0,0.0131240466,0.0121207571
Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",14,Overall,19066924.92,80324062,614207,212181,0.2392871274,31.043157958,89.861603631,0,16842746.09,67985679.6,506070,177016,0.2497214636,33.281455313,95.148156607,0,15585436.17,60459565.909,443123,154028,0.2594237636,35.171805955,101.18573357,0,14112761.43,50431613.32,365097,132816,0.2802300784,38.654827156,106.25799173,0,12432572.88,41484708.633,291847,107795,0.3002349776,42.59962542,115.33533912,0,0.0713874089,0.0583650445
Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,Walgreen Co.,2196089.92,13118871,99515,39250,0.1679862186,22.067928654,55.951335541,0,1706262.73,10303805,77393,30383,0.1664233853,22.046732004,56.158467893,0,1600546.47,9651332,73751,29269,0.1663459005,21.702030752,54.684016195,0,1123375.86,6495294,52164,22470,0.1730560792,21.535462388,49.9944753,0,684729.68,3883887,30272,13618,0.1763243163,22.619241543,50.281221912,0,0.0188854217,0.0121843976
